# 2013 LAVCA scorecard on PE/VC investment,,,,,,,,,,,,,,,,,
Country,Argentina,Brazil,Chile,Colombia,Costa_Rica,Dominican_Republic,El_Salvador,Mexico,Panama,Peru,Trinidad_y_Tobago,Uruguay,Israel,Spain,Taiwan,UK,Perfect score
Overall score,42,72,76,61,56,42,39,67,49,51,57,57,81,76,64,96,100
Laws on PE/VC fund formation and operation,1,4,3,3,2,2,0,2,2,2,2,2,4,3,4,4,4
Tax treatment of PE/VC funds and investments,1,3,3,2,3,1,2,3,2,1,3,3,2,4,3,4,4
Protection of minority shareholder rights,2,3,3,3,1,2,1,3,2,1,2,2,4,3,1,4,4
Restrictions on local institutional investors investing in PE/VC,0,3,3,3,1,1,1,3,2,3,2,2,4,3,2,4,4
Protection of intellectual property rights,2,2,3,2,3,1,2,2,2,2,3,2,2,3,3,4,4
Bankruptcy procedures/creditors rights/partners liability,2,3,3,2,2,1,2,2,2,2,2,3,2,3,3,3,4
Capital markets development and feasibility of exits,2,3,3,2,2,1,2,3,2,2,2,1,3,3,3,4,4
Registration/reserve requirements on inward investments,1,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,4
Corporate governance requirements,2,3,3,3,2,3,1,3,2,3,2,2,4,3,2,4,4
Strength of the judicial system/percieved corruption,2,2,3,2,3,1,1,2,2,1,2,3,3,2,2,4,4
Perceived corruption,1,1,3,1,3,1,1,1,1,1,1,3,3,3,2,3,4
Quality of local accounting/use of international standards,4,4,4,2,4,3,3,3,2,4,3,3,4,4,3,4,4
Entrepreneurship,3,3,3,3,2,2,2,3,1,2,2,2,3,2,4,4,4
Score,23,37,40,31,31,22,21,33,25,27,30,31,41,39,35,49,52
Normalized score,44,71,76,59,59,42,40,63,48,51,57,59,78,75,67,94,
