# 2013 LAVCA scorecard on PE/VC investment,Argentina,Brazil,Chile,Colombia,Costa_Rica,Dominican_Republic,El_Salvador,Mexico,Panama,Peru,Trinidad_y_Tobago,Uruguay,Israel,Spain,Taiwan,GB,Perfect score
Country,AR,BR,CL,CO,CR,DO,SV,MX,PA,PE,TT,UY,IL,ES,TW,GB,Perfect score
Overall_score,42,72,76,61,56,42,39,67,49,51,57,57,81,76,64,96,100
VAR1,1,4,3,3,2,2,0,2,2,2,2,2,4,3,4,4,4
VAR2,1,3,3,2,3,1,2,3,2,1,3,3,2,4,3,4,4
VAR3,2,3,3,3,1,2,1,3,2,1,2,2,4,3,1,4,4
VAR4,0,3,3,3,1,1,1,3,2,3,2,2,4,3,2,4,4
VAR5,2,2,3,2,3,1,2,2,2,2,3,2,2,3,3,4,4
VAR6,2,3,3,2,2,1,2,2,2,2,2,3,2,3,3,3,4
VAR7,2,3,3,2,2,1,2,3,2,2,2,1,3,3,3,4,4
VAR8,1,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,4
VAR9,2,3,3,3,2,3,1,3,2,3,2,2,4,3,2,4,4
VAR10,2,2,3,2,3,1,1,2,2,1,2,3,3,2,2,4,4
VAR11,1,1,3,1,3,1,1,1,1,1,1,3,3,3,2,3,4
VAR12,4,4,4,2,4,3,3,3,2,4,3,3,4,4,3,4,4
VAR13,3,3,3,3,2,2,2,3,1,2,2,2,3,2,4,4,4
Score,23,37,40,31,31,22,21,33,25,27,30,31,41,39,35,49,52
Normalized score,44,71,76,59,59,42,40,63,48,51,57,59,78,75,67,94,100
